userid,movieid,rating,date
888,26377,0.5,2009/9/17 0:00
888,53324,0.5,2009/9/17 0:00
5153,3801,4.5,2009/5/17 0:00
5153,7877,4.5,2009/3/25 0:00
5153,9229,4,2009/1/8 0:00
5153,9250,3.5,2009/1/8 0:00
5153,12185,3.5,2009/3/29 0:00
5153,14467,3.5,2009/1/8 0:00
5153,17971,3,2009/1/8 0:00
5153,20641,3.5,2009/7/19 0:00
5153,28057,3,2009/3/26 0:00
5153,44583,3.5,2009/3/26 0:00
5153,51696,3.5,2009/6/5 0:00
5153,51775,3,2009/1/8 0:00
5153,53981,4,2009/1/8 0:00
5153,55562,3.5,2009/3/26 0:00
5153,55388,2.5,2009/1/8 0:00
5153,55639,4,2009/1/8 0:00
5153,56502,4,2009/1/8 0:00
5153,60447,3.5,2009/1/8 0:00
5153,62307,3.5,2009/1/8 0:00
5153,62530,3.5,2009/7/3 0:00
5153,66208,4,2009/5/17 0:00
5153,66385,3,2009/1/8 0:00
1896,34815,4,2008/12/18 0:00
1896,60244,4.5,2008/12/18 0:00
234,13762,3.5,2009/4/29 0:00
234,15179,5,2009/4/29 0:00
234,15181,5,2009/4/29 0:00
234,17293,4.5,2009/4/29 0:00
234,51694,5,2009/4/29 0:00
234,55248,4.5,2009/5/16 0:00
6120,24010,5,2008/12/8 0:00
6120,20644,5,2008/12/8 0:00
8691,62530,5,2009/4/7 0:00
761,63684,5,2009/1/27 0:00
8189,9711,4.5,2009/3/13 0:00
8189,9965,5,2009/3/13 0:00
8189,20445,4,2009/3/13 0:00
8189,31023,4,2009/3/13 0:00
8189,36096,4.5,2009/3/13 0:00
8189,35976,4,2009/3/13 0:00
8189,47875,4,2009/3/13 0:00
8189,50368,5,2009/3/13 0:00
8189,49704,3.5,2009/3/13 0:00
8189,51696,4,2009/3/13 0:00
8189,57537,4,2009/3/13 0:00
8189,66086,4,2009/3/13 0:00
8189,63865,4,2009/3/13 0:00
236,54336,1.5,2009/3/2 0:00
236,62530,0.5,2009/3/2 0:00
5521,8784,2.5,2009/7/10 0:00
5521,18330,2.5,2009/8/8 0:00
5521,18858,3.5,2009/7/10 0:00
5521,20641,3,2009/7/10 0:00
5521,57699,1.5,2009/7/10 0:00
899,4329,5,2008/3/27 0:00
899,20445,5,2008/1/27 0:00
899,20327,5,2008/4/10 0:00
899,24941,4,2008/1/20 0:00
899,26324,5,2008/1/18 0:00
899,23789,5,2008/1/15 0:00
899,31276,4,2008/7/17 0:00
899,41692,0.5,2008/4/4 0:00
899,39384,5,2008/4/4 0:00
899,53674,5,2008/5/26 0:00
899,54818,5,2008/3/23 0:00
899,57227,5,2008/4/8 0:00
1202,7684,1,2009/7/6 0:00
1202,8784,3,2009/7/7 0:00
1202,26400,2.5,2009/7/7 0:00
1202,39530,2,2009/7/6 0:00
1202,54146,5,2009/7/6 0:00
1202,66208,1.5,2009/7/6 0:00
1925,46995,2.5,2008/12/26 0:00
1925,53968,1,2008/12/26 0:00
6163,8538,4,2009/1/26 0:00
6163,43529,3,2009/1/26 0:00
6163,60645,2.5,2009/1/26 0:00
6163,62530,3.5,2009/1/26 0:00
5756,34060,3,2009/3/30 0:00
5756,47784,3.5,2009/3/30 0:00
5756,62530,3,2009/3/30 0:00
239,5802,4,2009/2/20 0:00
239,5591,4,2009/2/20 0:00
239,5708,1,2009/2/20 0:00
239,8039,5,2009/2/20 0:00
239,9533,4,2009/2/20 0:00
239,12185,2,2009/2/20 0:00
239,16390,4,2009/2/22 0:00
239,16969,3,2009/2/22 0:00
239,20800,4.5,2009/2/20 0:00
239,17971,5,2009/2/20 0:00
239,20641,4.5,2009/2/22 0:00
239,20644,3,2009/2/20 0:00
239,21983,5,2009/2/20 0:00
239,23790,1.5,2009/2/20 0:00
239,23831,4.5,2009/2/20 0:00
239,29309,4,2009/2/20 0:00
239,33072,4.5,2009/2/20 0:00
239,32983,5,2009/2/20 0:00
239,39543,3.5,2009/3/12 0:00
239,39545,4.5,2009/2/20 0:00
239,40748,3,2009/2/20 0:00
