Epiweek,Mean,Standard Deviation
1,1.417735789473684,1.1039313096332997
2,1.5644126315789473,1.313442786600171
3,1.6426283684210525,1.436287049189322
4,1.7059357894736842,1.3858551988623669
5,1.7588336842105263,1.1770021703741136
6,1.7698805263157895,0.8546956251233454
7,1.8064605263157891,0.6162732207003275
8,2.0373810526315794,0.6034696421867444
9,2.01004,0.6963824009535958
10,2.134855789473684,0.8733875913049313
11,2.5401121052631583,1.3085441120958936
12,3.098752105263158,1.3782633662295116
13,3.6628384210526317,1.5722252946540898
14,3.3366239999999996,1.453311833263598
15,2.930521,1.2261019702165885
16,3.0734855,1.1812660642314032
17,3.3387295000000003,1.2220793305775
18,3.5437920000000007,1.3420419291236767
19,3.601047,1.4336761743577242
20,3.5463639999999996,1.410808641532933
21,3.2821884999999993,1.16680773914675
22,2.870519,0.9113615110476192
23,2.6879429,0.850494767239511
24,2.4450205,0.737782667467019
25,2.1744305,0.6361358629842764
26,1.92726525,0.5455432301305622
27,1.65416305,0.4762610317017838
28,1.44907685,0.411649927830587
29,1.3005197000000002,0.352575599827342
30,1.1943555,0.30512449438147377
31,1.1975057500000001,0.4779333707621676
32,1.1309716500000002,0.3843082803911822
33,1.05078895,0.3366377151876294
34,1.2849566666666667,0.5079373644019068
